route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
411,0000000022025061320250909,0004308672025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308682025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308692025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308712025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308722025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308732025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308742025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308752025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308762025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308772025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308782025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
411,0000000022025061320250909,0004308802025061320250909,Romagnano Piazza Condini,0,D713_T1201_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309122025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309162025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309172025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309182025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309192025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309202025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309212025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309222025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309232025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309242025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309252025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309262025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309272025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309282025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309292025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309302025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309312025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
408,0000000022025061320250909,0004309432025061320250909,Cognola "Centro Civico",0,D688_T1001c_Andata_PRINCIPALE_sub2,1
406,0000000022025061320250909,0004309542025061320250909,Piazza Dante "Dogana",1,D682_T0912b_Ritorno_sub2,1
406,0000000022025061320250909,0004309552025061320250909,Piazza Dante "Dogana",1,D682_T0912b_Ritorno_sub2,1
