service_id,date,exception_type
0000000522025061320250909,20250710,1
0000000522025061320250909,20250711,1
0000000522025061320250909,20250712,1
0000000522025061320250909,20250714,1
0000000522025061320250909,20250715,1
0000000522025061320250909,20250716,1
0000000522025061320250909,20250717,1
0000000522025061320250909,20250718,1
0000000522025061320250909,20250719,1
0000000522025061320250909,20250721,1
0000000522025061320250909,20250722,1
0000000522025061320250909,20250723,1
0000000522025061320250909,20250724,1
0000000522025061320250909,20250725,1
0000000522025061320250909,20250726,1
0000000522025061320250909,20250728,1
0000000522025061320250909,20250729,1
0000000522025061320250909,20250730,1
0000000522025061320250909,20250731,1
0000000522025061320250909,20250801,1
0000000522025061320250909,20250802,1
0000000522025061320250909,20250804,1
0000000522025061320250909,20250805,1
0000000522025061320250909,20250806,1
0000000522025061320250909,20250807,1
0000000522025061320250909,20250808,1
0000000522025061320250909,20250809,1
0000000522025061320250909,20250811,1
0000000522025061320250909,20250812,1
0000000522025061320250909,20250813,1
0000000522025061320250909,20250814,1
0000000522025061320250909,20250815,2
0000000522025061320250909,20250816,1
0000000522025061320250909,20250818,1
0000000522025061320250909,20250819,1
0000000522025061320250909,20250820,1
0000000522025061320250909,20250821,1
0000000522025061320250909,20250822,1
0000000522025061320250909,20250823,1
0000000522025061320250909,20250825,1
0000000522025061320250909,20250826,1
0000000522025061320250909,20250827,1
0000000522025061320250909,20250828,1
0000000522025061320250909,20250829,1
0000000522025061320250909,20250830,1
0000000522025061320250909,20250901,1
0000000522025061320250909,20250902,1
0000000522025061320250909,20250903,1
0000000522025061320250909,20250904,1
0000000522025061320250909,20250905,1
0000000522025061320250909,20250906,1
0000000522025061320250909,20250908,1
0000000522025061320250909,20250909,1
0000000532024090920250612,20250527,2
0000000532024090920250612,20250528,2
0000000532024090920250612,20250529,2
0000000532024090920250612,20250530,2
0000000532024090920250612,20250531,2
0000000532024090920250612,20250602,2
0000000532024090920250612,20250603,2
0000000532024090920250612,20250604,2
0000000532024090920250612,20250605,2
0000000532024090920250612,20250606,2
0000000532024090920250612,20250607,2
0000000532024090920250612,20250609,2
0000000532024090920250612,20250610,2
0000000532024090920250612,20250611,2
0000000532024090920250612,20250612,2
0000000532025030620250612,20250527,2
0000000532025030620250612,20250528,2
0000000532025030620250612,20250529,2
0000000532025030620250612,20250530,2
0000000532025030620250612,20250531,2
0000000532025030620250612,20250602,2
0000000532025030620250612,20250603,2
0000000532025030620250612,20250604,2
0000000532025030620250612,20250605,2
0000000532025030620250612,20250606,2
0000000532025030620250612,20250607,2
0000000532025030620250612,20250609,2
0000000532025030620250612,20250610,2
0000000532025030620250612,20250611,2
0000000532025030620250612,20250612,2
0000000532025033120250612,20250527,2
0000000532025033120250612,20250528,2
0000000532025033120250612,20250529,2
0000000532025033120250612,20250530,2
0000000532025033120250612,20250531,2
0000000532025033120250612,20250602,2
0000000532025033120250612,20250603,2
0000000532025033120250612,20250604,2
0000000532025033120250612,20250605,2
0000000532025033120250612,20250606,2
0000000532025033120250612,20250607,2
0000000532025033120250612,20250609,2
0000000532025033120250612,20250610,2
0000000532025033120250612,20250611,2
